quest_id	english_title	reason
1272	Finding Reethe <CHANGE INTO GOSSIP>	Finding Reethe <CHANGE INTO GOSSIP> -- unreachable, no creature_queststarter/ender, gameobject_queststarter/ender, or game_event link in our DB; same reachability signature as already-skip-listed 12021
1277	<nyi> <TXT> The Centaur Hoofprints	English title marker: <nyi> <TXT> The Centaur Hoofprints
1278	<nyi> <TXT> The Grim Totem Clan	English title marker: <nyi> <TXT> The Grim Totem Clan
1279	<nyi> <TXT>The Centaur Hoofprints	
1280	<nyi> <TXT>The Centaur Hoofprints	
1289	<nyi> Vimes\'s Report	English title marker: <nyi> Vimes's Report
1290	<nyi> Investigating Mosarn	English title marker: <nyi> Investigating Mosarn
1291	<nyi> <TXT> Centaur Hoofprints	English title marker: <nyi> <TXT> Centaur Hoofprints
1292	<nyi><TXT> Centaur Hoofprints	English title marker: <nyi><TXT> Centaur Hoofprints
1293	<nyi> <TXT> Centaur Hoofprints	
1294	<nyi> <TXT>Centaur Sympathies	
1295	<nyi> <TXT> Course of Action	
1296	<nyi> <TXT> Course of Action	
1297	<nyi> <TXT> Course of Action	
1298	<nyi> <TXT> Thrall\'s Dirty Work	English title marker: <nyi> <TXT> Thrall's Dirty Work
1299	<nyi> <TXT> Thrall\'s Dirty Work	
1300	<nyi> <TXT> Lorn Grim Totem	
1390	<nyi> Oops, We Killed Them Again.	English title marker: <nyi> Oops, We Killed Them Again.
1397	<nyi> Saved!	English title marker: <nyi> Saved!
1441	<UNUSED>	English title marker: <UNUSED>
1443	<nyi> The Shakedown	English title marker: <nyi> The Shakedown
1460	<UNUSED>	English title marker: <UNUSED>
1461	<UNUSED>	English title marker: <UNUSED>
1533	<NYI> Call of Air	English title marker: <NYI> Call of Air
1537	<NYI> Call of Air	English title marker: <NYI> Call of Air
1538	<NYI> Call of Air	English title marker: <NYI> Call of Air
1659	<UNUSED>	
1660	<UNUSED>	
1662	<UNUSED>	English title marker: <UNUSED>
1663	<UNUSED>	English title marker: <UNUSED>
1664	<UNUSED>	English title marker: <UNUSED>
2018	Rokar\'s Test	Rokar's Test -- unreachable, English-only wowhead slug
2020	<UNUSED>	English title marker: <UNUSED>
2058	<UNUSED>	English title marker: <UNUSED>
2059	<UNUSED>	English title marker: <UNUSED>
2868	<TXT> The Shriveled Heart	English title marker: <TXT> The Shriveled Heart
2971	<UNUSED>	English title marker: <UNUSED>
3023	<UNUSED>	English title marker: <UNUSED>
3064	<NYI> <TXT> Pirate Hats	English title marker: <NYI> <TXT> Pirate Hats
3111	<UNUSED>	English title marker: <UNUSED>
3241	<NYI> <TXT><redux> Dreadmist Peak	English title marker: <NYI> <TXT><redux> Dreadmist Peak
3383	<UNUSED>	English title marker: <UNUSED>
3384	<UNUSED>	English title marker: <UNUSED>
3401	<UNUSED>	English title marker: <UNUSED>
3403	<UNUSED>	English title marker: <UNUSED>
3404	<UNUSED>	English title marker: <UNUSED>
3405	<UNUSED>	English title marker: <UNUSED>
3422	<UNUSED>	English title marker: <UNUSED>
3423	<UNUSED>	English title marker: <UNUSED>
3424	<UNUSED>	English title marker: <UNUSED>
3425	<UNUSED>	English title marker: <UNUSED>
3482	<NYI> <TXT> The Pocked Black Box	English title marker: <NYI> <TXT> The Pocked Black Box
3515	<UNUSED>	English title marker: <UNUSED>
3516	<UNUSED>	English title marker: <UNUSED>
3529	<UNUSED>	English title marker: <UNUSED>
3530	<UNUSED>	English title marker: <UNUSED>
3531	<UNUSED>	English title marker: <UNUSED>
3581	<UNUSED>	English title marker: <UNUSED>
3622	<UNUSED>	English title marker: <UNUSED>
3623	<UNUSED>	English title marker: <UNUSED>
3624	<UNUSED>	English title marker: <UNUSED>
3885	<NYI> <TXT> The Gadgetzan Run	English title marker: <NYI> <TXT> The Gadgetzan Run
3910	<NYI> <TXT> The Un\'Goro Run	English title marker: <NYI> <TXT> The Un'Goro Run
4299	<NYI> <TXT>The Tomb of the Seven	English title marker: <NYI> <TXT>The Tomb of the Seven
4323	<NYI> <TXT> Get those Hyenas!!!	English title marker: <NYI> <TXT> Get those Hyenas!!!
4541	<NYI> <TXT>	English title marker: <NYI> <TXT>
4905	<UNUSED>	
5053	<UNUSED>	
5205	<UNUSED>	English title marker: <UNUSED>
5207	<NYI> <TXT> The True Summoner	English title marker: <NYI> <TXT> The True Summoner
5208	<NYI> <TXT> The Blessing of Evil	English title marker: <NYI> <TXT> The Blessing of Evil
5209	<UNUSED>	English title marker: <UNUSED>
5303	<UNUSED>	English title marker: <UNUSED>
5304	<UNUSED>	English title marker: <UNUSED>
5383	Krastinov\'s Bag of Horrors	Krastinov's Bag of Horrors -- obsolete duplicate of quest 5515 (real live version, already translated, matches Wowhead's real zhTW slug); requires item 13543 which Wowhead flags UNUSED
5506	<UNUSED>	English title marker: <UNUSED>
5512	<UNUSED>	English title marker: <UNUSED>
5516	<UNUSED>	English title marker: <UNUSED>
5520	<UNUSED>	English title marker: <UNUSED>
5523	<UNUSED>	English title marker: <UNUSED>
5530	<NYI> <TXT> Necklace of the Dawn	English title marker: <NYI> <TXT> Necklace of the Dawn
5532	<NYI> <TXT> Ring of the Dawn	English title marker: <NYI> <TXT> Ring of the Dawn
5653	<NYI> Hex of Weakness	English title marker: <NYI> Hex of Weakness
5659	<NYI> Touch of Weakness	
5664	<UNUSED>	English title marker: <UNUSED>
5665	<UNUSED>	English title marker: <UNUSED>
5666	<UNUSED>	English title marker: <UNUSED>
5667	<UNUSED>	English title marker: <UNUSED>
5668	<NYI> A Blessing of Light	English title marker: <NYI> A Blessing of Light
5669	<NYI> A Blessing of Light	English title marker: <NYI> A Blessing of Light
5670	<NYI> A Blessing of Light	English title marker: <NYI> A Blessing of Light
5671	<NYI> A Blessing of Light	English title marker: <NYI> A Blessing of Light
5681	<UNUSED>	English title marker: <UNUSED>
5682	<UNUSED>	English title marker: <UNUSED>
5683	<UNUSED>	English title marker: <UNUSED>
5684	<UNUSED>	English title marker: <UNUSED>
5685	<NYI> <TXT> The Light Protects You	English title marker: <NYI> <TXT> The Light Protects You
5686	<NYI> The Light Protects You	English title marker: <NYI> The Light Protects You
5687	<NYI> The Light Protects You	English title marker: <NYI> The Light Protects You
5688	<NYI> <TXT> A Touch of Voodoo	English title marker: <NYI> <TXT> A Touch of Voodoo
5689	<NYI> A Touch of Voodoo	English title marker: <NYI> A Touch of Voodoo
5690	<NYI> <TXT> A Touch of Voodoo	English title marker: <NYI> <TXT> A Touch of Voodoo
5691	<NYI> <TXT> In the Dark it was Created	
5692	<NYI> In the Dark It was Created	
5693	<NYI> In the Dark It was Created	
5694	<UNUSED>	English title marker: <UNUSED>
5695	<UNUSED>	English title marker: <UNUSED>
5696	<UNUSED>	English title marker: <UNUSED>
5697	<UNUSED>	English title marker: <UNUSED>
5698	<NYI> <TXT> A Small Amount of Hope	English title marker: <NYI> <TXT> A Small Amount of Hope
5699	<NYI> A Small Amount of Hope	English title marker: <NYI> A Small Amount of Hope
5700	<NYI> A Small Amount of Hope	English title marker: <NYI> A Small Amount of Hope
5701	<NYI> <TXT> The Rites of Old	English title marker: <NYI> <TXT> The Rites of Old
5702	<NYI> The Rites of Old	English title marker: <NYI> The Rites of Old
5703	<NYI> The Rites of Old	English title marker: <NYI> The Rites of Old
5704	<NYI> <TXT> Undead Priest Robe	
5705	<NYI> No Longer a Shadow	
5706	<NYI> No Longer a Shadow	
5707	<NYI> <TXT> Flirting With Darkness	
5708	<NYI> Flirting With Darkness	
5709	<NYI> Flirting With Darkness	
5710	<NYI> <TXT> Troll Priest Robe	English title marker: <NYI> <TXT> Troll Priest Robe
5711	<NYI> The Lost Ways	English title marker: <NYI> The Lost Ways
5712	<NYI> The Lost Ways	English title marker: <NYI> The Lost Ways
6003	<nyi> <txt> Green With Envy	<nyi> <txt> Green With Envy (lowercase marker, missed by original case-sensitive scan)
6165	<NYI> <TXT> Archmage Timolain\'s Remains	
6201	<UNUSED> The Legacy of the Ashbringer	English title marker: <UNUSED> The Legacy of the Ashbringer
6202	<UNUSED> Good and Evil	English title marker: <UNUSED> Good and Evil
6627	Test of Lore	Test of Lore -- duplicate ID, real version is 6628 (already translated); no wowhead documentation
6702	<TXT> SF,RFK,GNOMER,BF	English title marker: <TXT> SF,RFK,GNOMER,BF
6703	<TXT> SF,RFK,GNOMER,BF - Repeatable	English title marker: <TXT> SF,RFK,GNOMER,BF - Repeatable
6704	<TXT> SM,RFD,ULD	English title marker: <TXT> SM,RFD,ULD
6705	<TXT> SM,RFD,ULD - Repeatable	English title marker: <TXT> SM,RFD,ULD - Repeatable
6706	<TXT> ZUL,ST,MAR	English title marker: <TXT> ZUL,ST,MAR
6707	<TXT> ZUL,ST,MAR - Repeatable	English title marker: <TXT> ZUL,ST,MAR - Repeatable
6708	<TXT> BRD,DM,BRS	English title marker: <TXT> BRD,DM,BRS
6709	<TXT> BRD,DM,BRS - Repeatable	English title marker: <TXT> BRD,DM,BRS - Repeatable
6710	<TXT> UBRS,STRATH,SCHOL	English title marker: <TXT> UBRS,STRATH,SCHOL
6711	<TXT> UBRS,STRATH,SCHOL - Repeatable	English title marker: <TXT> UBRS,STRATH,SCHOL - Repeatable
6841	<UNUSED>	
6842	<UNUSED>	English title marker: <UNUSED>
6843	Da Foo	Da Foo -- unfinished dev/QA quest, English source is entirely blank/zero fields (level 0, no requirements, no Details/EndText, placeholder title); DB's zhTW row removed, no translation needed
7069	<UNUSED>	
7384	<nyi> <txt> The Scale Crafters	English title marker: <nyi> <txt> The Scale Crafters
7521	Thunderaan the Windseeker	Thunderaan the Windseeker -- obsolete duplicate of quest 7786 (real live version, already translated); requires item 18566 which Wowhead flags DEPRECATED
7561	Rise,Thunderfury!	Rise,Thunderfury! -- same obsolete Thunderfury chain as 7521; requires item 18589 which Wowhead flags DEPRECATED
7681	Hunter test quest	Hunter test quest -- unfinished dev/QA quest; CompletedText literally reads "Return to GOSSIP TEST DUDE." untranslated even in the DB row
7682	Hunter test quest2	Hunter test quest2 -- same as 7681, second copy of the same dev/QA test quest
7741	Praise from the Emerald Circle <NYI> <TXT>	English title marker: Praise from the Emerald Circle <NYI> <TXT>
7790	REUSE	English title marker: REUSE
7869	test quest - do not use	English title marker: test quest - do not use
7870	test quest2 - do not use	English title marker: test quest2 - do not use
7904	<UNUSED>	
7922	Mark of Honor	blank English title, unreachable, tied to item 19322 'zzDEPRECATED Warsong Mark of Honor' (real item is 20558)
7923	Mark of Honor	blank English title, unreachable, tied to item 19322 'zzDEPRECATED Warsong Mark of Honor' (real item is 20558)
7924	Mark of Honor	blank English title, unreachable, tied to item 19322 'zzDEPRECATED Warsong Mark of Honor' (real item is 20558)
7925	Mark of Honor	blank English title, unreachable, tied to item 19322 'zzDEPRECATED Warsong Mark of Honor' (real item is 20558)
8001	Warsong Outriders <NYI> <TXT>	Warsong Outriders <NYI> <TXT> -- blank Details/Objectives, Wowhead has no real name either (slug: warsong-outriders-nyi-txt)
8002	Silverwing Sentinels <NYI> <TXT>	blank English title, unreachable, tied to item 19322 'zzDEPRECATED Warsong Mark of Honor' (real item is 20558)
8152	REUSE	English title marker: REUSE
8237	REUSE	English title marker: REUSE
8244	<UNUSED>	
8245	<UNUSED>	
8247	<UNUSED>	
8248	<UNUSED>	
8270	test copy quest	test copy quest -- unreachable, English-only wowhead slug (test-copy-quest)
8274	Test Kill Quest	Test Kill Quest -- unreachable, English-only wowhead slug
8293	Mark of Honor	blank English title, unreachable, tied to item 19322 'zzDEPRECATED Warsong Mark of Honor' (real item is 20558)
8296	Mark of Honor	blank English title, unreachable, tied to item 19322 'zzDEPRECATED Warsong Mark of Honor' (real item is 20558)
8337	<UNUSED>	English title marker: <UNUSED>
8339	Royalty of the Council <NYI> <TXT> UNUSED	
8340	Twilight Signet Ring <NYI> <TXT>	
8444	<NYI> <TXT> gossip shade of ambermoon	English title marker: <NYI> <TXT> gossip shade of ambermoon
8445	<NYI> <TXT> gossip shade of ambermoon	English title marker: <NYI> <TXT> gossip shade of ambermoon
8448	<TXT> Mystery Reward	<TXT> Mystery Reward
8449	<TXT> Mystery Reward	<TXT> Mystery Reward
8450	<TXT> Mystery Reward	<TXT> Mystery Reward
8451	<TXT> Mystery Reward	<TXT> Mystery Reward
8452	<TXT> Mystery Reward	<TXT> Mystery Reward
8453	<TXT> Mystery Reward	<TXT> Mystery Reward
8454	<TXT> Mystery Reward	<TXT> Mystery Reward
8458	<UNUSED>	English title marker: <UNUSED>
8459	<UNUSED>	
8489	An Intact Converter	An Intact Converter -- Wowhead URL slug 'deprecated', no creature/GO starter+ender or game_event link in our DB
8568	Past Victories in Warsong Gulch	blank English title, unreachable, tied to item 19322 'zzDEPRECATED Warsong Mark of Honor' (real item is 20558)
8571	<UNUSED> Armor Kits	English title marker: <UNUSED> Armor Kits
8742	The Might of Kalimdor	The Might of Kalimdor -- unreachable, the classic AQ40 "War of the Shifting Sands" gate-opening quest (C'Thun/Scepter of the Shifting Sands). Checked src/server/ C++ source for the AQ war-effort world-event system that would grant this via hardcoded game logic (not NPC/GO interaction) -- zero references found anywhere in the codebase. AzerothCore does not implement this one-time historical Blizzard event at all; confirmed genuinely unreachable on this server.
8896	The Dwarven Spy	The Dwarven Spy -- same as 12021
8971	REUSE	REUSE -- blank Details/Objectives, broken EndText 'Return to .' (missing NPC name), only reachable via Love is in the Air seasonal pool, not a real NPC
8972	REUSE	REUSE -- same as 8971
8973	REUSE	REUSE -- same as 8971
8974	REUSE	REUSE -- same as 8971
8975	REUSE	REUSE -- same as 8971
8976	REUSE	REUSE -- same as 8971
9031	<TXT>Anthion\'s Parting Words	English title marker: <TXT>Anthion's Parting Words
9051	Toxic Test	Toxic Test -- reachable but no wowhead documentation (English-only slug), likely deprecated/test content per user judgment
9231	reuse	English title marker: reuse
9284	Aldor Faction Test	Aldor Faction Test -- unreachable, English-only wowhead slug
9285	Consortium Faction Test	Consortium Faction Test -- unreachable, English-only wowhead slug
9286	Scryers Faction Test	Scryers Faction Test -- unreachable, English-only wowhead slug
9296	reuse	English title marker: reuse
9297	reuse	English title marker: reuse
9298	reuse	English title marker: reuse
9306	<DEPRECATED>Speak with Vindicator Aldar	English title marker: <DEPRECATED>Speak with Vindicator Aldar
9307	<DEPRECATED>Compassion	English title marker: <DEPRECATED>Compassion
9308	<DEPRECATED>Blood Elf Remains?	English title marker: <DEPRECATED>Blood Elf Remains?
9316	[TXT] Goblin Savages	English title marker: [TXT] Goblin Savages
9357	Report to Aeldon Sunbrand	Report to Aeldon Sunbrand -- same as 12021
9384	<NYI>Harnessing the Light	English title marker: <NYI>Harnessing the Light
9411	<UNUSED>Infused Bandages	
9412	<UNUSED>Crystal Flake Throat Lozenge	
9413	<UNUSED>Crystal Flake Throat Lozenge	
9414	<UNUSED>Infused Bandages	
9445	<NYI><TXT>Placeholder: A Worthy Offering	English title marker: <NYI><TXT>Placeholder: A Worthy Offering
9458	<UNUSED>Potion of Heightened Senses	
9459	<UNUSED>Anti-crit Potion	
9477	<UNUSED>Potion of Nature\'s Armor	
9478	<UNUSED>Portable Healing Font	
9479	<UNUSED>Glorious Standard of the Alliance	
9480	<UNUSED>Debuff Banner	
9481	<UNUSED>Light Consumable	
9482	<UNUSED>Nature Resist Potion	
9507	<DEPRECATED>From the Desk of Mogul Razdunk	English title marker: <DEPRECATED>From the Desk of Mogul Razdunk
9577	DAILY TEST QUEST (PVP)	
9596	<DEPRECATED>Control	
9597	<UNUSED>	
9599	<UNUSED>	
9613	Deprecated: Keanna\'s Will	English title marker: Deprecated: Keanna's Will
9614	Deprecated: Reforge a Short Blade	English title marker: Deprecated: Reforge a Short Blade
9615	Deprecated: Reforge a Long Blade	English title marker: Deprecated: Reforge a Long Blade
9650	Deprecated: Magical Augmentation	English title marker: Deprecated: Magical Augmentation
9651	Deprecated: Magical Augmentation	English title marker: Deprecated: Magical Augmentation
9652	Deprecated: Physical Enhancement	English title marker: Deprecated: Physical Enhancement
9653	Deprecated: Physical Enhancement	English title marker: Deprecated: Physical Enhancement
9654	Deprecated: A Well Rounded Defense	English title marker: Deprecated: A Well Rounded Defense
9655	Deprecated: Healing Amplification	English title marker: Deprecated: Healing Amplification
9656	Deprecated: Lethality First	English title marker: Deprecated: Lethality First
9657	Deprecated: Offensive Channeling	English title marker: Deprecated: Offensive Channeling
9658	Deprecated: Offensive Channeling	English title marker: Deprecated: Offensive Channeling
9659	Deprecated: Healing Amplification	English title marker: Deprecated: Healing Amplification
9660	Deprecated: Lethality First	English title marker: Deprecated: Lethality First
9661	Deprecated: A Well Rounded Defense	English title marker: Deprecated: A Well Rounded Defense
9662	Deprecated: Keanna\'s Freedom	English title marker: Deprecated: Keanna's Freedom
9679	<NYI>Return to Knight-Lord Bloodvalor	English title marker: <NYI>Return to Knight-Lord Bloodvalor
9745	<DEPRECATED>Suppressing the Flame	English title marker: <DEPRECATED>Suppressing the Flame
9754		
9767	Know Your Enemy	Wowhead URL slug is literally 'deprecated'
10029	The Spirits Are Calling	Wowhead URL slug 'deprecated', no creature/GO starter+ender or game_event link in our DB
10207	Forward Base: Reaver\'s Fall REUSE	English title marker: Forward Base: Reaver's Fall REUSE
10215		
10370	Nazgrel\'s Command <TXT>	English title marker: Nazgrel's Command <TXT>
10402	<TXT>	
10549	REUSE	English title marker: REUSE
10616	<nyi>Breadcrumb	English title marker: <nyi>Breadcrumb
10716	Test Flight: Raven\'s Wood <needs reward>	Test Flight: Raven's Wood <needs reward> -- unreachable, wowhead slug literally contains 'needs-reward'
10743	[DEPRECATED]<txt>Hero of the Mok\'Nathal	English title marker: [DEPRECATED]<txt>Hero of the Mok'Nathal
10746	DEPRECATED Karazhan: LAB - E - Exalted Ring - Caster	English title marker: DEPRECATED Karazhan: LAB - E - Exalted Ring - Caster
10787	[DEPRECATED]<txt><nyi>The Dragons of Dragons\' End	English title marker: [DEPRECATED]<txt><nyi>The Dragons of Dragons' End
10890	[UNUSED] <NYI> 	
11088	<DEPRECATED>Unravelling Your Training	English title marker: <DEPRECATED>Unravelling Your Training
11121	DAILY TEST QUEST (RAID)	
11127	<NYI>Thunderbrew Secrets	
11179	[Temporarily Deprecated Awaiting a New Mob]Finlay Is Gutless	English title marker: [Temporarily Deprecated Awaiting a New Mob]Finlay Is Gutless
11196	TEMP X	TEMP X -- unreachable in our DB; wowhead slug shows unrelated content (阿曼尼督軍/Amani Overlord), likely ID repurposed in a later expansion, not a useful signal either way
11223	Return to Jaina	Wowhead URL slug 'deprecated', no creature/GO starter+ender or game_event link in our DB
11320	[NYI] Now this is Ram Racing... Almost.	[NYI] Now this is Ram Racing... Almost. -- Details/Objectives are literal unfilled placeholder labels 'Log Descritpion'/'Quest Description'
11347	<NYI> Clear Some Room	<NYI> Clear Some Room -- broken EndText 'Return to .' (missing NPC name), Wowhead has no real name either (slug: nyi-clear-some-room)
11425	Test Quest - Craig	Test Quest - Craig -- unreachable, English-only wowhead slug
11461	DEPRECATED	English title marker: DEPRECATED
11578	The \"Chow\" Quest (123)aa COPY	The "Chow" Quest (123)aa COPY -- unreachable, duplicate pair with 11579 (identical content), literal "COPY" in title
11579	The \"Chow\" Quest (123)aa COPY	The "Chow" Quest (123)aa COPY -- unreachable, duplicate pair with 11578 (identical content), literal "COPY" in title
11588	REUSE	English title marker: REUSE
11589	REUSE	English title marker: REUSE
11974	[ph] Now, When I Grow Up...	[ph] Now, When I Grow Up... -- unreachable, literal "[ph]" placeholder marker baked into the English title itself (Blizzard's own internal marker, not ours); Wowhead's wotlk-build page has no specific entry for this ID either (redirects to the generic quest listing)
11987	zzOLDFortune Card: Silver	zzOLDFortune Card: Silver -- confirmed both ways: Wowhead flags deprecated (此任務被暴雪標記為過期) AND unreachable in our DB (no starter/ender, no game_event link)
11992	Navigation Charts (Deprecated)	English title marker: Navigation Charts (Deprecated)
11997	REUSE	English title marker: REUSE
12001	zzOLDHunting Tarot: Lesser Beasts	zzOLDHunting Tarot: Lesser Beasts -- unreachable, wowhead slug still carries 'zzold'
12015	Test Quest for Craig	Test Quest for Craig -- unreachable, English-only wowhead slug
12021	A Letter Home	A Letter Home -- Wowhead marks deprecated, no positive reachability signal in our DB either (no starter/ender, no game_event link); consistent with 8489's later resolution
12087	A Little Help Here? DEPRECATED	a-little-help-here-deprecated -- Wowhead URL slug
12103	DEPRECATED	English title marker: DEPRECATED
12108	DEPRECATED	English title marker: DEPRECATED
12162	Solstice Village	Solstice Village -- same as 12021
12163	The Evil Below	The Evil Below -- same as 12021
12233	[Depricated]Sewing Your Seed	English title marker: [Depricated]Sewing Your Seed
12426	DEPRECATED	English title marker: DEPRECATED
12445		
12452	zzOLD The Fate of the Ruby Dragonshrine	zzOLD The Fate of the Ruby Dragonshrine -- unreachable, wowhead slug still carries 'zzold'
12493	PvP Test	PvP Test -- unreachable, English-only wowhead slug
12601	The Alchemist\'s Apprentice	The Alchemist's Apprentice -- unreachable, duplicate pair with 12602 (identical content), Wowhead bracket-title (unavailable)
12602	The Alchemist\'s Apprentice	The Alchemist's Apprentice -- unreachable, duplicate pair with 12601 (identical content), Wowhead bracket-title (unavailable)
12682	Uncharted Territory (DEPRECATED)	English title marker: Uncharted Territory (DEPRECATED)
12731		
12764	The Secret to Kungaloosh (DEPRECATED)	English title marker: The Secret to Kungaloosh (DEPRECATED)
12765	Kungaloosh (DEPRECATED)	English title marker: Kungaloosh (DEPRECATED)
12780	DEPRICATED>>Enemy of Our Enemy	DEPRICATED>>Enemy of Our Enemy (typo'd deprecated marker)
12881	The Brothers Bronzebeard	The Brothers Bronzebeard -- same as 12021
12911	Kill Credit Test	English title marker: Kill Credit Test
12923		
13150	ZZOLDLost: Widget	ZZOLDLost: Widget -- unreachable, wowhead slug still carries 'zzold'
13156	A Rare Herb	A Rare Herb -- unreachable, Wowhead bracket-title (unavailable), duplicate concept of already-translated 13195
13210	Blizzard Account: - DEM - E - FLAG	Blizzard Account: - DEM - E - FLAG -- unreachable, internal/dev account testing, wowhead slug matches
13299	ZZOLDWisp Cloak	ZZOLDWisp Cloak -- unreachable, wowhead slug still carries 'zzold'
13303	Test Quest	Test Quest -- unreachable in our DB; wowhead slug shows unrelated content (the-panchurian-candidate), likely ID repurposed in a later expansion
13541		
13649	Justin\'s Fun Test	Justin's Fun Test -- reachable but no wowhead documentation (English-only slug), likely deprecated/test content per user judgment
13825	Clamlette Surprise	Clamlette Surprise -- internal duplicate stub (type=0,level=-1,min=0), dead pair pattern
13826	Nat Pagle, Angler Extreme	Nat Pagle, Angler Extreme -- internal duplicate stub of quest 6607 (which already has zhTW text)
13840	REUSE	English title marker: REUSE
13914	Searing Roc Feathers	Searing Roc Feathers -- unreachable, Wowhead confirms deprecated, duplicate concept of already-translated 13905
13915	Hungry, Hungry Hatchling	Hungry, Hungry Hatchling -- unreachable, Wowhead confirms deprecated, duplicate concept of already-translated 13889
13916	Poached, Scrambled, Or Raw?	Poached, Scrambled, Or Raw? -- unreachable, Wowhead confirms deprecated, duplicate concept of already-translated 13904
13917	Gorishi Grub	Gorishi Grub -- duplicate of already-translated quest 13903 (identical content). Wowhead confirms deprecated (此任務被暴雪標記為過期) despite having a starter/ender in our DB -- same false-positive-reachability pattern as the Thunderfury/Krastinov's duplicates
14106	Na Kada\'s Quest Test	Na Kada's Quest Test -- unreachable, English-only wowhead slug
14119	Blank [PH]	Blank [PH] -- unreachable, English-only wowhead slug (blank-ph)
14147	Blank [PH]	Blank [PH] -- unreachable, English-only wowhead slug (blank-ph)
14148	Blank [PH]	Blank [PH] -- unreachable, English-only wowhead slug (blank-ph)
14149	Blank [PH]	Blank [PH] -- unreachable, English-only wowhead slug (blank-ph)
14150	Blank [PH]	Blank [PH] -- unreachable, English-only wowhead slug (blank-ph)
14350	The Crimson Courier	The Crimson Courier -- unreachable, Wowhead confirms deprecated, duplicate concept of already-translated 6145
14351	Battle of Hillsbrad	deprecated-battle-of-hillsbrad -- Wowhead URL slug
14352	An Unholy Alliance	An Unholy Alliance -- unreachable, near-identical content (same NPC letter text) to reachable quest 6522 of the same title; confirmed duplicate
14353	An Unholy Alliance	An Unholy Alliance -- unreachable, same duplicate pair as 14352 (both title-siblings of reachable 6522)
14418	The Deathstalkers	The Deathstalkers -- unreachable, identical content to reachable quest 1978 of the same title; confirmed duplicate
14420	The Deathstalkers	The Deathstalkers -- unreachable, same duplicate pair as 14418 (both title-siblings of reachable 1978)
14439	Journey into Thunder Bluff	Journey into Thunder Bluff -- Wowhead: deprecated, superseded by quest 24550 in a later expansion
24222	Call to Arms: Eye of the Storm DEPRECATED	English title marker: Call to Arms: Eye of the Storm DEPRECATED
24227	DEPRECATED	English title marker: DEPRECATED
